"system","n_sig","obs_pct","null_pct_med","null_pct_p95","p_pct","obs_medF","null_topF_med","null_topF_p95","p_strength","nsurr"
"surftemp",3054,7.37129202770872,0,0,0.00199600798403194,0.304464197168009,0.0751603800859301,0.105430056741059,0.00199600798403194,500
"bottemp",3628,8.7567280538727,0,0,0.00199600798403194,0.246513386495638,0.0723906856339854,0.0918497689232389,0.00199600798403194,500
"rivtemp",1976,3.088561693082,0,0,0.00199600798403194,0.279963853313131,0.100717950914437,0.124539480293496,0.00199600798403194,500
