"compartment","forcing","medF","pct","rF","jaccard"
"surftemp","20CRv3-ERA5",0.302945100093325,7.52093842774734,1,1
"surftemp","20CRv3-W5E5",0.274934531334325,5.77289730903825,0.871529187900975,0.473515248796148
"surftemp","GSWP3-W5E5",0.282564958847583,3.68887066032956,0.770546043690225,0.252021563342318
"bottemp","20CRv3-ERA5",0.248689863394477,8.68673215708045,1,1
"bottemp","20CRv3-W5E5",0.24092600983912,6.93616507783275,0.882822523754188,0.536434844528839
"bottemp","GSWP3-W5E5",0.256510685786598,4.63943641583633,0.78689381752547,0.352768250857423
