"compartment","depth","direct"
"surftemp",12.5241985321045,0
"surftemp",9.7365026473999,0.084237277507782
"surftemp",15.9939527511597,0.396129727363586
"surftemp",12.9409828186035,0.00171643495559692
"surftemp",10.7185564041138,0
"surftemp",25.0267486572266,0.0219739675521851
"surftemp",17.8290672302246,0.00343018770217896
"surftemp",14.1001672744751,0
"surftemp",15.6962366104126,0
"surftemp",12.0438623428345,0
"surftemp",10.9968700408936,0.000752151012420654
"surftemp",11.4097766876221,0.0032351016998291
"surftemp",13.3034143447876,0.0113106369972229
"surftemp",15.2056665420532,0.0100608468055725
"surftemp",12.0921993255615,0.0027616024017334
"surftemp",13.0897445678711,0.00703173875808716
"surftemp",13.4548406600952,0
"surftemp",12.2381601333618,0.0109905600547791
"surftemp",11.0184240341187,0.00401747226715088
"surftemp",19.5783157348633,0.0239306688308716
"surftemp",15.7367191314697,0.002521812915802
"surftemp",22.8308715820312,0.0289380550384521
"surftemp",20.1580028533936,0.0135107636451721
"surftemp",14.2928256988525,0.00712382793426514
"surftemp",32.4891204833984,0.0157614350318909
"surftemp",76.6228408813477,0.000624358654022217
"surftemp",9.71429347991943,0.0053180456161499
"surftemp",23.7410526275635,0.0107378959655762
"surftemp",12.132227897644,0.000639021396636963
"surftemp",14.3450736999512,0.000737667083740234
"surftemp",14.9455108642578,0.00270843505859375
"surftemp",16.22633934021,0.0168871283531189
"surftemp",19.012659072876,9.7811222076416e-05
"surftemp",18.8679485321045,0.0171151757240295
"surftemp",27.3223533630371,0.0728909969329834
"surftemp",7.69633960723877,0
"surftemp",18.1318550109863,0.00481599569320679
"surftemp",95.2350692749023,0.0340207815170288
"surftemp",13.2232151031494,0.00192838907241821
"surftemp",19.5992069244385,0.00789690017700195
"surftemp",16.8041648864746,0.00910007953643799
"surftemp",27.2072067260742,0.0149850249290466
"surftemp",14.3373870849609,0.00757002830505371
"surftemp",11.5055227279663,0
"surftemp",101.495903015137,0.0294302701950073
"surftemp",20.377420425415,0
"surftemp",20.2715625762939,0.0178452730178833
"surftemp",11.9616231918335,0.00299310684204102
"surftemp",14.4534435272217,0.00317221879959106
"surftemp",18.2607860565186,0
"surftemp",12.7597217559814,0.000112175941467285
"surftemp",14.847354888916,0
"surftemp",11.1893529891968,0.0467148423194885
"surftemp",17.4074172973633,0
"surftemp",143.188659667969,0.00113755464553833
"surftemp",59.7753562927246,0.0148583054542542
"surftemp",20.5027751922607,0.00050121545791626
"surftemp",21.6992092132568,0
"surftemp",11.2348670959473,0.00271600484848022
"surftemp",16.1193675994873,0
"surftemp",162.939926147461,0.0154615640640259
"surftemp",14.6763305664062,0.0620798468589783
"surftemp",16.8805160522461,0.0446166396141052
"surftemp",5.13293170928955,0.288278162479401
"surftemp",5.29207372665405,0.313024997711182
"surftemp",14.2461624145508,0
"surftemp",101.958015441895,0
"surftemp",119.7216796875,0.0153656005859375
"surftemp",22.1681728363037,0
"surftemp",14.5614128112793,0
"surftemp",13.776177406311,0
"surftemp",28.5764274597168,0.0224609375
"surftemp",20.9553031921387,0.060579240322113
"surftemp",6.46614694595337,0.258569300174713
"surftemp",7.12129783630371,0.305996417999268
"surftemp",84.4827041625977,0.00275713205337524
"surftemp",12.6000852584839,0
"surftemp",27.6755771636963,0
"surftemp",12.3395261764526,0
"surftemp",14.5144090652466,0
"surftemp",16.0663585662842,0
"surftemp",13.3797569274902,0.0998667478561401
"surftemp",6.4748420715332,0.0724322199821472
