"compartment","n_sig","medF_linear","medF_firstdiff"
"surftemp",3048,0.304572370286173,0.365074629725828
"bottemp",3619,0.246752490321708,0.280203213625104
"rivtemp",1934,0.280183808548148,0.332072247517222
