"compartment","n","pct_direct_neg","pct_mediated_neg","pct_local_neg"
"surftemp",3048,26.8700787401575,0,0
"bottemp",3619,22.0779220779221,0.165791655153357,0.828958275766786
"rivtemp",1934,21.1995863495346,0.672182006204757,0.827300930713547
