year oni nao pdo iod npgo npo
1995 -0.16 -0.0808333333333333 0.439166666666667 -0.0150833333333333 -1.03920854583333 -0.34
1996 -0.46 -0.214166666666667 0.683333333333333 -0.361666666666667 -0.972836611666667 -1.13
1997 1.17083333333333 -0.156666666666667 1.31666666666667 0.518333333333333 -0.657690615833333 -0.23
1998 -0.0575 -0.480833333333333 -0.478333333333333 -0.0655 0.544553282666667 -3.42
1999 -1.225 0.390833333333333 -1.84333333333333 0.03425 1.51578051666667 0.55
2000 -0.835833333333333 0.206666666666667 -1.12583333333333 0.0695 1.88586129166667 -0.45
2001 -0.308333333333333 -0.1825 -1.13416666666667 -0.0238333333333333 2.080693375 -1.82
2002 0.630833333333333 0.0391666666666667 -0.439166666666667 0.02 1.47359396 0.3
2003 0.250833333333333 0.0975 0.381666666666667 0.06325 0.958507189166667 -3.84
2004 0.446666666666667 0.2425 -0.224166666666667 -0.0368333333333333 0.209460249333333 -0.34
2005 0.0408333333333333 -0.2675 -0.188333333333333 -0.194083333333333 -1.382803095 -0.75
2006 0.0716666666666667 -0.2075 -0.350833333333333 0.181583333333333 -0.5556193925 1.21
2007 -0.6075 0.173333333333333 -0.7025 0.200416666666667 0.593865201666667 0.93
2008 -0.781666666666667 -0.378333333333333 -1.66333333333333 0.155416666666667 1.45586074833333 0.4
2009 0.281666666666667 -0.243333333333333 -1.03166666666667 0.136666666666667 0.738577193333333 4.57
2010 -0.479166666666667 -1.1525 -1.06083333333333 0.0569166666666667 1.36925054416667 -2.41
2011 -0.860833333333333 0.293333333333333 -1.81166666666667 0.286166666666667 0.859107346666667 2.23
2012 -0.150833333333333 -0.455833333333333 -1.73333333333333 0.205416666666667 1.47799897666667 1.43
2013 -0.3225 0.21 -1.16583333333333 -0.03525 0.345830584166667 1.41
2014 0.116666666666667 0.186666666666667 0.554166666666667 -0.00175 -0.2495040825 0.91
2015 1.46083333333333 0.433333333333333 0.916666666666667 0.267666666666667 -1.39461713333333 -1.04
2016 0.334166666666667 -0.0383333333333333 0.669166666666667 -0.14875 -0.189634578333333 -2.31
2017 -0.204166666666667 0.225833333333333 -0.0958333333333333 0.36075 -0.861852010833333 1.36
2018 0.00666666666666668 1.08333333333333 -0.36 0.29525 -1.906805375 4.08
2019 0.4875 -0.318333333333333 -0.1475 0.631416666666667 -2.25064674333333 0.5
2020 -0.359166666666667 0.290833333333333 -1.14166666666667 0.186666666666667 -1.7676031 2.86
2021 -0.723333333333333 -0.398333333333333 -1.87 0.122666666666667 -0.878858856583333 1.74
