year,enso_djf,nao_djfm,iod_son
1950,-1.46488484039717,0.301936402401517,-0.731192489079183
1951,-0.779878317884335,-0.601353786886712,0.403689279850028
1952,0.522598872809091,-0.178158776944589,-0.628980121041242
1953,0.397175143334909,-0.377309369858529,-0.114673443770963
1954,0.744502394186489,-0.220833903997576,-1.18141363400821
1955,-0.644806609219832,-1.14901791740005,-0.965631968150336
1956,-1.05966971440366,-0.587128744535716,-1.17086791349636
1957,-0.229943504036,-0.153264952830346,-0.681708723600497
1958,1.75754020917026,-1.37661859501598,-1.94395034794207
1959,0.599782706331664,-0.523116053956235,-1.17816879692764
1960,-0.0852238161811748,-1.305493383261,-1.42153157797036
1961,0.0498478924833286,0.369505353568747,1.52559170045696
1962,-0.220295524845678,-1.1454616568123,-0.145499396036374
1963,-0.374663191890825,-1.87093881671308,1.11836464684548
1964,1.04358974908646,-2.10920827609226,-1.41585311307937
1965,-0.557974796506937,-1.33749972855074,0.115709988949478
1966,1.33302912479611,-0.580016223360218,-0.0124610757330207
1967,-0.384311171081147,0.39084291709524,0.708703965423569
1968,-0.606214692458545,-0.583572483947967,-0.951030201287773
1969,1.10147762422839,-2.05230810668828,0.0775831532527853
1970,0.503302914428447,-0.900079676257622,-0.809068579012853
1971,-1.30086919416171,-1.19524930504078,-0.656561236226083
1972,-0.673750546790797,0.5259808194297,1.54830556002095
1973,1.78648414674123,0.337499008279006,-0.674407840169216
1974,-1.76397219529715,0.376617874744244,-1.2252189345959
1975,-0.509734900555328,0.149017197128313,-1.37367023103196
1976,-1.49382877796814,0.355280311217751,-0.0595112134012797
1977,0.696262498234881,-1.55443162440343,0.329058026996928
1978,0.676966539854237,-0.80761690097615,-0.54704798475686
1979,0.040199913293007,-1.16324295975104,-0.241222089913176
1980,0.580486747951021,-0.156821213418095,-1.03215112830201
1981,-0.239591483226322,0.15968597889156,-0.927505132453643
1982,-0.0369839202295664,0.341055268866755,1.53857104877924
1983,2.11451543921217,1.1945578099265,-0.123596745742529
1984,-0.567622775697258,0.664674982351908,-0.918581830482077
1985,-0.992133860071412,-0.828954464502643,-0.0935820027472603
1986,-0.46149500460372,0.572212207070436,0.0921849201153484
1987,1.19795741613161,-0.419984496911516,0.927730468362016
1988,0.792742290138098,0.533093340605197,-0.449702872339772
1989,-1.61925250744232,1.8489097580723,-0.34749050430183
1990,0.146327684386545,0.828262969388359,-0.0611336319415644
1991,0.406823122525231,0.529537080017449,0.532671553802669
1992,1.66106041726705,0.654006200588661,-1.06378828983757
1993,0.098087788434937,0.998963477600308,0.0589253400395101
1994,0.069143850863972,1.38303962107719,1.67972146178402
1995,0.937461977992923,1.74577820102758,-0.237977252832607
1996,-0.857062151406909,-0.900079676257622,-1.67949612587564
1997,-0.471142983794042,0.294823881226019,2.81541443998337
1998,2.1724033143541,-0.0856960016631166,-1.09136940502241
1999,-1.48418079877782,0.614887334123423,0.155459243186455
2000,-1.59030856987136,1.51106500223615,0.00214069112954244
2001,-0.644806609219832,-0.558678659833725,-0.301251575903714
2002,-0.133463712132783,0.344611529454504,1.08348264822936
2003,0.898870061231636,-0.0963647834263634,0.0678486420110765
2004,0.368231205763944,0.284155099462772,0.230090496039556
2005,0.628726643902629,0.145460936540564,-0.563272170159707
2006,-0.8088222554553,-0.494665969254244,1.66511969492145
2007,0.648022602283272,0.746468975870133,0.670577129726877
2008,-1.57101261149071,0.572212207070436,0.432892813575155
2009,-0.8088222554553,-0.0323520928468827,0.29579844692109
2010,1.45845285427029,-2.25145869960222,-0.529201380813727
2011,-1.35875706930364,-0.658253956290695,1.16947083086445
2012,-0.818470234645622,1.76000324337858,0.82065084470322
2013,-0.40360712946179,-0.700929083343682,0.21792235698742
2014,-0.393959150271468,1.04875112582879,0.44830578970786
2015,0.541894831189734,2.12985434450447,1.35523775372706
2016,2.40395481492182,1.5075087416484,-0.521900497382445
2017,-0.316775316748895,0.806925405861865,0.718438476665278
2018,-0.876358109787552,0.902944441731086,1.89469191837175
2019,0.734854414996168,0.814037927037363,2.62721388931034
2020,0.493654935238126,1.55729638987689,0.365562444153336
2021,-1.00178183926173,-0.345303024568789,0.378541792475614
