year,enso_djf,nao_djfm,iod_son
1950,-1.41256973327786,-0.308409896140148,-1.0184116976435
1951,0.6806934071669,-0.00866545153638445,0.381173843969489
1952,0.264473234631725,-1.11883006117995,-0.218087162383288
1953,1.1388058697949,-0.0330890729485429,0.395582305324419
1954,-0.667968060982789,0.0201988283143483,-1.27055977135478
1955,-1.55581433811139,-1.04999985538205,-0.890045405572304
1956,-0.954457270649857,-0.104139607965731,-1.4136619898117
1957,1.5401610361681,-0.50823952587599,-1.04231664489145
1958,1.33205094990052,-1.55623491737952,-2.32827182081897
1959,0.203661845787301,0.952737100414945,-1.75651787705288
1960,0.0928499816707931,-1.07886413523278,-1.84689822555198
1961,-0.0449891663765699,0.128994960059418,1.03053700003373
1962,-0.36661384515375,-0.896797139251238,0.157515227937278
1963,1.04826446862653,-1.09662676898708,1.06328350311312
1964,-0.572021203028252,-0.0974786203078699,-1.65107413713725
1965,1.44286281401702,-0.332833517552306,-0.718126264405524
1966,0.590152005998534,-0.861271871742644,-0.291439329281114
1967,-0.515263906773455,0.990482697142826,0.557677495567384
1968,0.200959117394215,-2.4909935186994,-0.219397022506463
1969,1.19015770926353,-0.141885204693613,-0.296351304743022
1970,-0.53688573391814,-0.661442242006802,-0.16241810714833
1971,-1.54230069614596,0.0401817912879325,-0.0641785979101703
1972,1.48610646830639,1.37237932286021,1.81514321381583
1973,-1.01932275208391,-0.217376398149375,-0.402122509689441
1974,-1.45581338756723,0.495349281241795,-0.426027456937394
1975,-1.72473486267924,-0.184071459860068,-0.709284708574089
1976,-0.0976923700417381,0.513111914996092,0.718790290717967
1977,0.811775734231549,-0.881254834716228,0.114944773934075
1978,-0.177422857637762,0.859483273204885,-0.978133498855854
1979,0.388798740713661,0.373231174181003,-0.133273719407676
1980,0.392852833303289,-1.08552512289064,-1.18050688788646
1981,-0.453101153732488,-0.552646110261732,-0.577316301164161
1982,1.5874587830471,1.15922771780865,1.36455133144347
1983,0.760423894762924,0.839500310231301,-0.163073037209918
1984,-0.838239949747178,0.672975618784766,-0.795408011672876
1985,-0.988241375563426,-0.474934587586683,-1.02528846329017
1986,0.392852833303289,1.35461668910592,-0.433231687614859
1987,2.05232806665782,-0.312850554578722,0.881540411022519
1988,-1.33283924568183,-0.0219874268521073,-0.298971024989373
1989,-0.999052289135768,1.88305504329625,-0.95324615651552
1990,0.492853783847454,1.59663257400821,-0.520992315867615
1991,1.03069673407148,0.728483849266944,0.943103836811766
1992,1.00502081433717,1.56110730649962,-1.72540869912746
1993,0.488799691257826,0.490908622803221,-0.134583579530852
1994,0.752315709583667,1.5477853311839,1.98444263473626
1995,-0.277423808181927,-0.201834093614365,0.0445397923133937
1996,-0.763914918937326,-0.557086768700307,-1.3173872707583
1997,1.88070481369688,-0.403884052569494,2.14064345442494
1998,-0.111206012007166,-1.26759211887219,-0.153576551316896
1999,-2.00446725136359,1.05487224450215,0.238399090543363
2000,-1.37338017157812,0.564179487039696,0.376916798569169
2001,-0.517966635166541,-0.472714258367396,0.0101559640800376
2002,1.00502081433717,0.117893313962982,0.182402570277612
2003,0.388798740713661,0.273316359313082,0.352356921259629
2004,0.706369326901213,0.659653643469043,-0.0409285807238057
2005,0.0482549631848816,-0.699187838734683,-0.658855093831833
2006,0.0982554384569642,-0.53932413494601,0.817357264986921
2007,-1.0031063817254,0.475366318268211,0.891364361946335
2008,-1.28554149880284,-0.994491624899872,0.714533245317646
2009,0.438799215985743,-0.634798291375356,0.640853613389026
2010,-0.79499629545781,-3.05717746961762,0.327469578919295
2011,-1.4139210974744,0.795093725845558,1.22832587863322
2012,-0.262558802019957,-1.20098224229358,0.911012263793967
2013,-0.540939826507768,0.573060803916845,-0.0347067451387222
2014,0.171229105070274,0.510891585776805,0.0969341972404124
2015,2.35097955409377,1.1681090346858,1.15562864179699
2016,0.523935160367938,-0.0885973034307213,-0.48071411707997
2017,-0.349046110598694,0.6152470590833,1.52140708119374
2018,-0.00715096887337217,2.89996582572976,1.26401956698976
2019,0.772586172531809,-0.834627921111199,2.58501350121222
2020,-0.60039985115565,0.788432738187697,0.837332631865346
2021,-1.19094600504484,-1.04777952616276,0.585839488215656
